,Zip Code,% with Cancer,% with COPD,% with Diabetes,% with Coronary Heart Disease,% with Poor Mental Health for 14+ Days
0,77002,2.8,3.5,7.0,3.0,13.6
1,77054,2.8,2.8,6.2,2.3,13.2
2,77081,2.8,5.4,11.6,4.3,18.2
3,77060,3.2,7.5,14.4,5.6,20.9
4,77067,3.3,5.9,12.9,4.4,18.1
5,77038,3.4,6.4,13.8,5.1,18.1
6,77073,3.4,5.1,10.6,3.9,16.6
7,77014,3.6,5.3,12.0,4.1,16.3
8,77075,3.6,5.1,11.6,4.3,15.7
9,77086,3.6,6.6,13.9,5.1,17.8
10,77012,3.7,6.1,15.7,6.1,16.8
11,77003,3.8,5.2,12.7,5.1,14.9
12,77036,3.8,6.9,14.4,5.9,17.9
13,77049,3.8,5.4,11.5,4.4,15.9
14,77076,3.8,7.1,14.8,6.1,18.5
15,77396,3.8,4.6,9.1,3.6,14.7
16,77506,3.8,6.5,13.6,5.6,17.7
17,77034,3.9,5.8,12.0,5.0,16.4
18,77072,3.9,6.9,15.1,5.8,17.1
19,77085,3.9,5.6,13.3,4.7,15.5
20,77449,3.9,4.3,8.9,3.5,14.0
21,77023,4.0,6.1,15.0,5.9,16.0
22,77037,4.0,7.8,15.1,6.5,18.8
23,77039,4.0,8.0,16.4,6.8,19.0
24,77093,4.0,8.5,17.7,7.4,19.6
25,77099,4.0,6.6,14.4,5.4,16.6
26,77004,4.1,5.2,11.5,4.7,15.9
27,77007,4.1,2.6,5.7,2.6,10.2
28,77032,4.1,7.4,13.9,5.7,18.7
29,77044,4.1,5.0,10.1,4.0,14.9
30,77061,4.1,6.6,14.0,5.7,16.8
31,77083,4.1,5.3,13.2,4.5,14.4
32,77587,4.1,6.2,14.2,5.8,16.4
33,77011,4.2,7.1,18.4,7.4,16.9
34,77017,4.2,5.9,13.8,5.6,15.6
35,77084,4.2,5.1,10.0,4.1,14.6
36,77087,4.2,7.0,16.3,6.6,17.2
37,77090,4.2,6.0,10.9,4.7,17.3
38,77433,4.2,3.8,7.4,3.1,12.7
39,77598,4.2,4.5,7.8,3.7,14.8
40,77013,4.3,7.3,15.4,6.5,17.5
41,77015,4.3,6.6,13.1,5.5,16.8
42,77064,4.3,5.0,10.2,4.2,13.9
43,77530,4.3,6.8,12.3,5.4,17.0
44,77082,4.4,5.1,10.8,4.4,14.3
45,77006,4.5,3.3,6.1,3.2,11.0
46,77020,4.5,8.0,19.0,7.7,17.8
47,77031,4.5,6.0,12.9,5.2,15.2
48,77041,4.5,4.4,10.1,4.0,9.1
49,77041,4.5,4.4,10.1,4.0,12.4
50,77045,4.5,6.0,14.9,5.4,15.1
51,77066,4.5,5.9,12.5,5.0,14.8
52,77078,4.5,8.0,17.3,6.5,18.2
53,77338,4.5,5.8,10.9,4.6,15.7
54,77547,4.5,7.4,16.1,6.8,17.3
55,77042,4.6,5.0,9.5,4.3,14.4
56,77047,4.6,5.6,13.4,4.9,14.9
57,77022,4.7,8.9,19.0,8.1,18.2
58,77040,4.7,5.6,10.9,4.8,14.7
59,77050,4.7,7.9,17.1,6.7,17.1
60,77074,4.7,7.3,13.7,6.4,17.1
61,77088,4.7,7.8,16.5,6.4,17.1
62,77089,4.7,5.4,11.2,4.8,14.0
63,77095,4.7,4.4,8.4,3.7,12.7
64,77009,4.8,5.6,13.5,5.7,13.9
65,77373,4.8,5.4,9.3,4.2,14.7
66,77030,4.9,3.0,6.4,3.3,10.0
67,77035,4.9,6.4,13.0,5.5,15.7
68,77055,4.9,5.9,11.4,5.3,14.7
69,77057,4.9,4.3,8.1,4.0,13.4
70,77063,4.9,5.1,9.3,4.7,14.0
71,77080,4.9,6.9,12.7,6.1,16.0
72,77092,4.9,7.7,13.8,6.4,17.1
73,77098,4.9,3.1,5.8,3.2,10.6
74,77010,5.0,4.9,7.8,4.1,12.7
75,77065,5.0,5.6,9.8,4.6,14.4
76,77091,5.0,8.2,17.1,6.8,17.5
77,77502,5.0,7.1,13.1,6.2,16.4
78,77503,5.0,6.8,12.2,5.8,16.1
79,77346,5.1,4.6,8.2,3.8,12.9
80,77026,5.3,9.8,21.3,8.7,18.3
81,77048,5.3,8.1,18.5,7.1,16.7
82,77071,5.3,6.5,14.6,5.8,14.5
83,77429,5.3,4.3,7.6,3.7,11.9
84,77504,5.3,6.6,11.5,5.6,15.9
85,77008,5.4,3.7,7.4,3.8,10.7
86,77029,5.4,8.6,18.8,8.1,16.9
87,77070,5.4,5.2,9.1,4.5,13.4
88,77493,5.4,5.3,9.0,4.5,13.3
89,77505,5.4,5.7,9.4,4.7,14.1
90,77521,5.4,6.6,11.3,5.4,15.3
91,77019,5.5,3.6,7.0,3.7,10.5
92,77077,5.5,4.6,8.9,4.4,12.4
93,77375,5.5,5.3,8.6,4.5,13.7
94,77450,5.5,4.5,8.5,3.9,11.6
95,77520,5.5,7.3,13.1,6.4,16.0
96,77025,5.6,4.0,8.2,4.2,11.0
97,77043,5.6,5.8,10.9,5.5,13.1
98,77377,5.6,4.9,8.3,4.2,12.2
99,77571,5.6,6.4,10.1,5.2,14.9
100,77021,5.7,7.8,17.9,7.2,15.9
101,77028,5.7,10.3,21.9,8.9,18.3
102,77033,5.7,10.0,21.6,8.7,18.1
103,77058,5.7,5.7,9.3,5.1,14.0
104,77388,5.7,5.0,8.9,4.4,12.6
105,77379,5.8,4.8,8.6,4.3,12.0
106,77389,5.8,4.6,8.0,4.2,11.8
107,77016,5.9,10.1,22.1,8.9,17.5
108,77051,5.9,10.5,22.0,9.0,19.1
109,77447,5.9,6.7,10.4,5.3,15.0
110,77532,5.9,7.0,10.9,5.6,15.2
111,77027,6.0,3.6,6.6,3.9,10.3
112,77094,6.0,3.7,7.9,3.8,9.4
113,77046,6.1,3.4,6.5,4.0,10.0
114,77068,6.2,6.0,11.5,5.5,12.8
115,77336,6.2,7.4,10.0,5.7,15.6
116,77536,6.2,6.3,9.5,5.2,14.0
117,77005,6.3,3.5,6.8,3.8,9.7
118,77018,6.3,6.0,11.3,5.7,12.7
119,77562,6.3,7.8,11.3,6.3,15.9
120,77586,6.4,5.3,8.7,4.8,12.2
121,77059,6.5,4.4,9.1,4.6,10.0
122,77062,6.5,5.4,9.7,5.1,11.8
123,77401,6.6,3.7,7.7,4.0,
